nameStd,icd10
Cat-scratch disease,A28.1
"Mosquito-borne viral fever, unspecified",A92.9
Other specified bacterial diseases,A48.8
Zika virus disease,A92.5
Erysipelas,A46
Glanders and melioidosis,A24
Streptococcal sepsis,A40
Unspecified viral infection of central nervous system,A89
Atypical virus infections of central nervous system,A81
Bacterial infection of unspecified site,A49
Erysipeloid,A26
"Chlamydial infection of genitourinary tract, unspecified",A56.2
Legionnaires' disease,A48.1
Omsk hemorrhagic fever,A98.1
"Other arthropod-borne viral fevers, not elsewhere classified",A93
Other specified sepsis,A41.8
Other tetanus,A35
"Other viral encephalitis, not elsewhere classified",A85
Chlamydial infection of anus and rectum,A56.3
Unspecified arthropod-borne viral fever,A94
Nonpneumonic Legionnaires' disease [Pontiac fever],A48.2
Other specified arthropod-borne viral fevers,A93.8
Brazilian purpuric fever,A48.4
Smallpox,B03
Sexually transmitted chlamydial infection of other sites,A56.8
Other sepsis,A41
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",B08
"Zoonotic bacterial disease, unspecified",A28.9
Other specified mosquito-borne viral fevers,A92.8
Chlamydial infection of pharynx,A56.4
Toxic shock syndrome,A48.3
Molluscum contagiosum,B08.1
Congenital syphilis,A50
Monkeypox,B04
Tetanus neonatorum,A33
Trichomoniasis,A59
Exanthema subitum [sixth disease],B08.2
Other and unspecified syphilis,A53
Kyasanur Forest disease,A98.2
"Syphilis, unspecified",A53.9
Chancroid,A57
Erythema infectiosum [fifth disease],B08.3
Gonococcal infection,A54
Unspecified sexually transmitted disease,A64
Parapoxvirus infections,B08.6
Other specified predominantly sexually transmitted diseases,A63.8
Enteroviral vesicular pharyngitis,B08.5
Relapsing fevers,A68
Anogenital herpesviral [herpes simplex] infections,A60
Acute hepatitis B,B16
Pinta [carate],A67
Chlamydia psittaci infections,A70
Other specified acute viral hepatitis,B17.8
"Chlamydial infection, unspecified",A74.9
Other spirochetal infections,A69
Chronic viral hepatitis,B18
Unspecified viral hepatitis,B19
Epidemic vertigo,A88.1
Other Vincent's infections,A69.1
Other rickettsioses,A79
"Acute viral hepatitis, unspecified",B17.9
"Other viral diseases, not elsewhere classified",B33
Other diseases caused by chlamydiae,A74
Other specified rickettsioses,A79.8
"Spirochetal infection, unspecified",A69.9
Tinea imbricata,B35.5
Other specified viral diseases,B33.8
Q fever,A78
Typhus fever,A75
Trachoma,A71
Tinea cruris,B35.6
Mosquito-borne viral encephalitis,A83
"Rickettsiosis, unspecified",A79.9
White piedra,B36.2
Other chlamydial diseases,A74.8
"Other viral hemorrhagic fevers, not elsewhere classified",A98
Other specified superficial mycoses,B36.8
Candidiasis,B37
Rabies,A82
Other specified viral infections of central nervous system,A88.8
Herpesviral [herpes simplex] infections,B00
"Other mycoses, not elsewhere classified",B48
Histoplasmosis,B39
Viral meningitis,A87
Unspecified viral encephalitis,A86
Venezuelan equine fever,A92.2
Paracoccidioidomycosis,B41
Coccidioidomycosis,B38
Other specified viral encephalitis,A85.8
Tick-borne viral encephalitis,A84
Marburg virus disease,A98.3
Dicroceliasis,B66.2
Yellow fever,A95
Other specified mycoses,B48.8
Other mosquito-borne viral fevers,A92
Sandfly fever,A93.1
Viral warts,B07
Other specified malaria,B53
Schistosomiasis [bilharziasis],B65
Adenoviral encephalitis,A85.1
Acute poliomyelitis,A80
Malaria due to simian plasmodia,B53.1
Hemorrhagic fever with renal syndrome,A98.5
Rift Valley fever,A92.4
Naegleriasis,B60.2
Unspecified viral hemorrhagic fever,A99
Rubella [German measles],B06
"Other protozoal diseases, not elsewhere classified",B60
"Arthropod-borne viral encephalitis, unspecified",A85.2
Zygomycosis,B46
Arenaviral hemorrhagic fever,A96
O'nyong-nyong fever,A92.1
Paragonimiasis,B66.4
Unspecified protozoal disease,B64
Zoster [herpes zoster],B02
Yatapoxvirus infections,B08.7
Viral conjunctivitis,B30
Other specified cestode infections,B71.8
Diphyllobothriasis and sparganosis,B70
Other acute viral hepatitis,B17
Ebola virus disease,A98.4
Other specified viral hemorrhagic fevers,A98.8
Mumps,B26
Fascioliasis,B66.3
Colorado tick fever,A93.2
African trypanosomiasis,B56
Enteroviral vesicular stomatitis with exanthem,B08.4
Infectious mononucleosis,B27
Fasciolopsiasis,B66.5
West Nile virus infection,A92.3
"Cestode infection, unspecified",B71.9
Measles,B05
Tinea unguium,B35.1
Other cestode infections,B71
Varicella [chickenpox],B01
"Other intestinal helminthiases, not elsewhere classified",B81
Other specified viral infections characterized by skin and mucous membrane lesions,B08.8
Viral carditis,B33.2
Unspecified viral infection characterized by skin and mucous membrane lesions,B09
Trichostrongyliasis,B81.2
Mixed intestinal helminthiases,B81.4
Acute hepatitis C,B17.1
Gnathostomiasis,B83.1
Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS],B33.4
Acute hepatitis A,B15
Pediculosis and phthiriasis,B85
Dermatophytosis,B35
Unspecified intestinal parasitism,B82
Black piedra,B36.3
Acute hepatitis E,B17.2
Other infestations,B88
Ross River disease,B33.1
Myiasis,B87
Other dermatophytoses,B35.8
Internal hirudiniasis,B83.4
Human immunodeficiency virus [HIV] disease,B20
Viral infection of unspecified site,B34
"Superficial mycosis, unspecified",B36.9
External hirudiniasis,B88.3
Other specified infestations,B88.8
Cytomegaloviral disease,B25
Tinea manuum,B35.2
Other superficial mycoses,B36
Sequelae of viral encephalitis,B94.1
Toxoplasmosis,B58
"Retrovirus infections, not elsewhere classified",B33.3
Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,B96.1
Sequelae of other specified infectious and parasitic diseases,B94.8
Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere,B96.6
Tinea corporis,B35.4
Chagas' disease,B57
Sporotrichosis,B42
Unspecified mycosis,B49
Other and unspecified infectious diseases,B99
Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,B96.4
Tinea barbae and tinea capitis,B35.0
Blastomycosis,B40
Tinea pedis,B35.3
Plasmodium malariae malaria,B52
Cryptococcosis,B45
Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere,B96.7
Malignant neoplasm of parotid gland,C07
Tinea nigra,B36.1
"Other malaria, not elsewhere classified",B53.8
Mycetoma,B47
Unspecified infectious disease,B99.9
Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,C06.8
Aspergillosis,B44
Leishmaniasis,B55
Unspecified malaria,B54
Malignant neoplasm of hypopharynx,C13
"Malignant neoplasm of major salivary gland, unspecified",C08.9
Chromomycosis and pheomycotic abscess,B43
Malignant neoplasm of rectum,C20
Geotrichosis,B48.3
Other specified fluke infections,B66.8
Malignant neoplasm of oropharynx,C10
Plasmodium vivax malaria,B51
Malignant neoplasm of stomach,C16
Other fluke infections,B66
Taeniasis,B68
Malignant neoplasm of liver and intrahepatic bile ducts,C22
Plasmodium falciparum malaria,B50
"Malignant neoplasm of biliary tract, unspecified",C24.9
Strongyloidiasis,B78
Allescheriasis,B48.2
Malignant neoplasm of anus and anal canal,C21
Rhinosporidiosis,B48.1
Malignant neoplasm of colon,C18
Enterobiasis,B80
"Fluke infection, unspecified",B66.9
Malignant neoplasm of trachea,C33
Penicillosis,B48.4
"Malignant neoplasm of heart, mediastinum and pleura",C38
Other specified intestinal helminthiases,B81.8
"Malignant neoplasm of lower respiratory tract, part unspecified",C39.9
Filariasis,B74
Other specified protozoal diseases,B60.8
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,C39
Other specified helminthiases,B83.8
Malignant neoplasm of bone and articular cartilage of other and unspecified sites,C41
Intestinal capillariasis,B81.1
Echinococcosis,B67
"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",C44.1
"Helminthiasis, unspecified",B83.9
Syngamiasis,B83.3
"Other and unspecified malignant neoplasm of skin, unspecified",C44.9
Clonorchiasis,B66.1
Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,C44.3
Other and unspecified malignant neoplasm of skin of trunk,C44.5
"Infestation, unspecified",B88.9
Dipylidiasis,B71.1
Other helminthiases,B83
Malignant neoplasm of connective and soft tissue of abdomen,C49.4
Unspecified parasitic disease,B89
Sequelae of other and unspecified infectious and parasitic diseases,B94
Dracunculiasis,B72
Malignant neoplasm of retroperitoneum and peritoneum,C48
Malignant neoplasm of connective and soft tissue of pelvis,C49.5
Viral agents as the cause of diseases classified elsewhere,B97
"Malignant neoplasm of connective and soft tissue of lower limb, including hip",C49.2
Sequelae of leprosy,B92
Cysticercosis,B69
Malignant neoplasm of overlapping sites of connective and soft tissue,C49.8
Malignant neoplasm of corpus uteri,C54
Other infectious disease,B99.8
Escherichia coli [E. coli ] as the cause of diseases classified elsewhere,B96.2
Onchocerciasis,B73
Malignant neoplasm of round ligament,C57.2
Malignant neoplasm of palate,C05
Hookworm diseases,B76
Malignant neoplasm of other and unspecified male genital organs,C63
Malignant neoplasm of broad ligament,C57.1
Other specified bacterial agents as the cause of diseases classified elsewhere,B96.8
Malignant neoplasm of lip,C00
Acanthamebiasis,B60.1
Malignant neoplasm of placenta,C58
"Malignant neoplasm of kidney, except renal pelvis",C64
Malignant neoplasm of overlapping sites of tongue,C02.8
Malignant neoplasm of other and unspecified parts of tongue,C02
Malignant neoplasm of other specified female genital organs,C57.7
"Malignant neoplasm of tongue, unspecified",C02.9
Malignant neoplasm of scrotum,C63.2
Trichuriasis,B79
Malignant neoplasm of tonsil,C09
Malignant neoplasm of penis,C60
Malignant neoplasm of eye and adnexa,C69
Trichinellosis,B75
"Malignant neoplasm of mouth, unspecified",C06.9
"Malignant neoplasm of female genital organ, unspecified",C57.9
Malignant neoplasm of nasopharynx,C11
Ascariasis,B77
Malignant neoplasm of brain,C71
Malignant neoplasm of ventral surface of tongue,C02.2
Malignant neoplasm of other and unspecified parts of mouth,C06
"Malignant neoplasm of male genital organ, unspecified",C63.9
Intestinal angiostrongyliasis,B81.3
Malignant neoplasm of adrenal gland,C74
Malignant neoplasm of Waldeyer's ring,C14.2
Sequelae of tuberculosis,B90
Malignant neoplasm of acoustic nerve,C72.4
Scabies,B86
Malignant neoplasm of carotid body,C75.4
Malignant neoplasm of sublingual gland,C08.1
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",C14
Tungiasis [sandflea infestation],B88.1
Malignant neoplasm without specification of site,C80
Malignant neoplasm of retromolar area,C06.2
Malignant neoplasm of overlapping sites of biliary tract,C24.8
Angiostrongyliasis due to Parastrongylus cantonensis,B83.2
Malignant neoplasm of testis,C62
Malignant neoplasm of ampulla of Vater,C24.1
Malignant neoplasm of larynx,C32
Malignant neoplasm of accessory sinuses,C31
Other arthropod infestations,B88.2
Malignant neoplasm of spleen,C26.1
Malignant neoplasm of pyriform sinus,C12
Malignant neoplasm of bone and articular cartilage of limbs,C40
Other and unspecified malignant neoplasm of skin,C44
"Malignant neoplasm of pelvic bones, sacrum and coccyx",C41.4
Sequelae of poliomyelitis,B91
"Malignant neoplasm of bone and articular cartilage, unspecified",C41.9
Malignant melanoma of skin,C43
Other and unspecified malignant neoplasm of overlapping sites of skin,C44.8
"Other and unspecified malignant neoplasm of skin of lower limb, including hip",C44.7
"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",C44.6
Other and unspecified malignant neoplasm of skin of ear and external auricular canal,C44.2
Sequelae of viral hepatitis,B94.2
"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",C49.1
Sequelae of unspecified infectious and parasitic disease,B94.9
Malignant neoplasm of other connective and soft tissue,C49
Other and unspecified malignant neoplasm of skin of scalp and neck,C44.4
Mesothelioma,C45
Kaposi's sarcoma,C46
Malignant neoplasm of cervix uteri,C53
Other bacterial agents as the cause of diseases classified elsewhere,B96
Malignant neoplasm of vagina,C52
Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere,B96.3
"Malignant neoplasm of connective and soft tissue, unspecified",C49.9
"Malignant neoplasm of uterus, part unspecified",C55
Malignant neoplasm of breast,C50
Malignant neoplasm of overlapping sites of urinary organs,C68.8
"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere",B95
Malignant neoplasm of ovary,C56
Malignant neoplasm of parametrium,C57.3
Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,B96.5
Malignant neoplasm of overlapping sites of female genital organs,C57.8
Malignant neoplasm of prostate,C61
Malignant neoplasm of lingual tonsil,C02.4
Malignant neoplasm of bladder,C67
Malignant neoplasm of border of tongue,C02.1
Malignant neoplasm of pineal gland,C75.3
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72
Malignant neoplasm of base of tongue,C01
Malignant neoplasm of other specified male genital organs,C63.7
Malignant neoplasm of meninges,C70
Malignant neoplasm of overlapping sites of male genital organs,C63.8
Malignant neoplasm of other and unspecified major salivary glands,C08
"Malignant neoplasm with pluriglandular involvement, unspecified",C75.8
Malignant neoplasm of renal pelvis,C65
Malignant neoplasm of floor of mouth,C04
Malignant neoplasm of upper limb,C76.4
Malignant neoplasm of other and unspecified urinary organs,C68
Malignant neoplasm of pancreas,C25
Malignant neoplasm of other specified ill-defined sites,C76.8
Malignant neoplasm of paraurethral glands,C68.1
Malignant neoplasm of small intestine,C17
Malignant neoplasm of abdomen,C76.2
Malignant neoplasm of other endocrine glands and related structures,C75
"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",C14.8
Malignant neoplasm of other and ill-defined sites,C76
Malignant neoplasm of optic nerve,C72.3
Malignant neoplasm of gum,C03
Malignant neoplasm of lower limb,C76.5
Malignant neoplasm of esophagus,C15
Malignant neoplasm of other and unspecified cranial nerves,C72.5
Malignant neoplasm of thorax,C76.1
"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",C02.3
Malignant neoplasm of pelvis,C76.3
Malignant neoplasm of aortic body and other paraganglia,C75.5
Secondary malignant neoplasm of other and unspecified sites,C79
Malignant neoplasm of thymus,C37
Secondary malignant neoplasm of adrenal gland,C79.7
Secondary malignant neoplasm of skin,C79.2
Malignant neoplasm of other and unspecified parts of biliary tract,C24
Secondary malignant neoplasm of other and unspecified parts of nervous system,C79.4
Malignant neoplasm of vestibule of mouth,C06.1
Secondary malignant neoplasm of ovary,C79.6
Malignant neoplasm of nasal cavity and middle ear,C30
Secondary malignant neoplasm of other specified sites,C79.8
Malignant neoplasm of gallbladder,C23
Malignant neoplasm of ill-defined sites within the digestive system,C26.9
Malignant neoplasm of bronchus and lung,C34
Malignant neoplasm of other and ill-defined digestive organs,C26
Malignant neoplasm of rectosigmoid junction,C19
Malignant neoplasm of mandible,C41.1
"Malignant neoplasm of ribs, sternum and clavicle",C41.3
Malignant neoplasm of vertebral column,C41.2
Malignant neoplasm of peripheral nerves and autonomic nervous system,C47
Malignant neoplasm of connective and soft tissue of thorax,C49.3
"Malignant neoplasm of connective and soft tissue of trunk, unspecified",C49.6
Malignant neoplasm of vulva,C51
"Malignant neoplasm of uterine adnexa, unspecified",C57.4
Malignant neoplasm of other and unspecified female genital organs,C57
Malignant neoplasm of spermatic cord,C63.1
Malignant neoplasm of ureter,C66
"Malignant neoplasm of central nervous system, unspecified",C72.9
Malignant neoplasm of olfactory nerve,C72.2
Malignant neoplasm of craniopharyngeal duct,C75.2
Malignant neoplasm of cauda equina,C72.1
Malignant neoplasm of thyroid gland,C73
Malignant neoplasm of pituitary gland,C75.1
"Malignant neoplasm of endocrine gland, unspecified",C75.9
Secondary malignant neoplasm of bladder and other and unspecified urinary organs,C79.1
Secondary malignant neoplasm of respiratory and digestive organs,C78
"Malignant neoplasm of urinary organ, unspecified",C68.9
Secondary and unspecified malignant neoplasm of lymph nodes,C77
Secondary malignant neoplasm of brain and cerebral meninges,C79.3
Secondary malignant neoplasm of bone and bone marrow,C79.5
Secondary malignant neoplasm of unspecified site,C79.9
Hodgkin lymphoma,C81
Mature T/NK-cell lymphomas,C84
Other leukemias of specified cell type,C94
Other specified types of non-Hodgkin lymphoma,C85.8
Benign neoplasm of mesothelial tissue,D19
"Malignant immunoproliferative disease, unspecified",C88.9
Unspecified B-cell lymphoma,C85.1
Mast cell leukemia,C94.3
"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",C96.9
Multiple myeloma and malignant plasma cell neoplasms,C90
Lymphoid leukemia,C91
Carcinoma in situ of other specified sites,D09.8
Malignant mast cell tumor,C96.2
"Non-Hodgkin lymphoma, unspecified",C85.9
Other benign neoplasm of skin of trunk,D23.5
Carcinoma in situ of other and unspecified female genital organs,D07.3
Carcinoma in situ of rectosigmoid junction,D01.1
Follicular lymphoma,C82
Other benign neoplasm of corpus uteri,D26.1
Benign neoplasm of other and unspecified female genital organs,D28
Carcinoma in situ of other and unspecified male genital organs,D07.6
Benign neoplasm of mouth and pharynx,D10
Benign neoplasm of meninges,D32
Angioimmunoblastic T-cell lymphoma,C86.5
Benign neoplasm of vagina,D28.1
Carcinoma in situ of anus and anal canal,D01.3
"Carcinoma in situ of oral cavity, esophagus and stomach",D00
"Benign neoplasm of central nervous system, unspecified",D33.9
Hepatosplenic T-cell lymphoma,C86.1
Benign neoplasm of other specified sites,D36.7
Carcinoma in situ of prostate,D07.5
Carcinoma in situ of other and unspecified genital organs,D07
Benign neoplasm of other and unspecified sites,D36
Mediastinal (thymic) large B-cell lymphoma,C85.2
Polycythemia vera,D45
Carcinoma in situ of other and unspecified urinary organs,D09.1
Acute megakaryoblastic leukemia,C94.2
Neoplasm of uncertain behavior of brain and central nervous system,D43
Other specified and unspecified types of non-Hodgkin lymphoma,C85
Neoplasm of uncertain behavior of female genital organs,D39
"Carcinoma in situ, unspecified",D09.9
Benign neoplasm of major salivary glands,D11
Neoplasm of uncertain behavior of other specified sites,D48.7
Malignant immunoproliferative diseases and certain other B-cell lymphomas,C88
Neoplasm of uncertain behavior of retroperitoneum,D48.3
Benign neoplasm of other and ill-defined parts of digestive system,D13
Carcinoma in situ of cervix uteri,D06
Monoclonal gammopathy,D47.2
Non-follicular lymphoma,C83
Scorbutic anemia,D53.2
Benign neoplasm of bone and articular cartilage,D16
"Carcinoma in situ of liver, gallbladder and bile ducts",D01.5
Essential (hemorrhagic) thrombocythemia,D47.3
Enteropathy-type (intestinal) T-cell lymphoma,C86.2
Iron deficiency anemia,D50
Benign neoplasm of other specified intrathoracic organs,D15.7
Subcutaneous panniculitis-like T-cell lymphoma,C86.3
Carcinoma in situ of other and unspecified sites,D09
Neoplasm of uncertain behavior of skin,D48.5
Folate deficiency anemia,D52
Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],C88.4
Benign neoplasm of other and unspecified intrathoracic organs,D15
"Aplastic anemia, unspecified",D61.9
"Myelodysplastic disease, not classified",C94.6
Other hemoglobinopathies,D58.2
Other specified hereditary hemolytic anemias,D58.8
Benign neoplasm of soft tissue of retroperitoneum and peritoneum,D20
Other specified types of T/NK-cell lymphoma,C86
Carcinoma in situ of vagina,D07.2
Other specified aplastic anemias and other bone marrow failure syndromes,D61.8
Other malignant immunoproliferative diseases,C88.8
Other benign neoplasms of connective and other soft tissue,D21
Hereditary elliptocytosis,D58.1
Benign neoplasm of heart,D15.1
"Hereditary hemolytic anemia, unspecified",D58.9
Acute panmyelosis with myelofibrosis,C94.4
Benign neoplasm of connective and other soft tissue of abdomen,D21.4
Other anemias,D64
Benign neoplasm of middle ear and respiratory system,D14
Other aplastic anemias and other bone marrow failure syndromes,D61
Myeloid leukemia,C92
Benign neoplasm of pancreas,D13.6
Secondary sideroblastic anemia due to disease,D64.1
Benign neoplasm of mediastinum,D15.2
Other sideroblastic anemias,D64.3
Other specified leukemias,C94.8
Benign neoplasm of ill-defined sites within the digestive system,D13.9
Disseminated intravascular coagulation [defibrination syndrome],D65
"Hemangioma and lymphangioma, any site",D18
Other coagulation defects,D68
Heavy chain disease,C88.2
Benign neoplasm of extrahepatic bile ducts,D13.5
Hereditary deficiency of other clotting factors,D68.2
"Benign neoplasm of colon, rectum, anus and anal canal",D12
"Carcinoma in situ of digestive organ, unspecified",D01.9
Melanocytic nevi,D22
Leukemia of unspecified cell type,C95
Primary thrombophilia,D68.5
Hereditary factor IX deficiency,D67
"Benign neoplasm of connective and other soft tissue of lower limb, including hip",D21.2
Other specified coagulation defects,D68.8
"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue",C96
Other thrombophilia,D68.6
"Benign neoplasm of intrathoracic organ, unspecified",D15.9
Benign neoplasm of connective and other soft tissue of pelvis,D21.5
Monocytic leukemia,C93
"Hemorrhagic condition, unspecified",D69.9
Immune thrombocytopenic purpura,D69.3
Other benign neoplasms of skin,D23
Immunoproliferative small intestinal disease,C88.3
"Benign neoplasm of connective and other soft tissue of trunk, unspecified",D21.6
Methemoglobinemia,D74
"Thrombocytopenia, unspecified",D69.6
Other benign neoplasm of skin of ear and external auricular canal,D23.2
Carcinoma in situ of other specified digestive organs,D01.7
Other benign neoplasm of skin of other and unspecified parts of face,D23.3
Functional disorders of polymorphonuclear neutrophils,D71
Other specified diseases of blood and blood-forming organs,D75.8
Leiomyoma of uterus,D25
Other benign neoplasm of skin of scalp and neck,D23.4
Primary cutaneous CD30-positive T-cell proliferations,C86.6
"Hemophagocytic syndrome, infection-associated",D76.2
Di George's syndrome,D82.1
Other benign neoplasm of other parts of uterus,D26.7
"Other benign neoplasm of skin of lower limb, including hip",D23.7
Carcinoma in situ of rectum,D01.2
Immunodeficiency associated with other specified major defects,D82.8
Defects in the complement system,D84.1
Benign neoplasm of breast,D24
"Other benign neoplasm of skin of upper limb, including shoulder",D23.6
Sarcoma of dendritic cells (accessory cells),C96.4
Neutropenia,D70
Other immunodeficiencies,D84
Benign neoplasm of uterine tubes and ligaments,D28.2
"Other benign neoplasm of skin, unspecified",D23.9
Immunodeficiency with predominantly antibody defects,D80
Carcinoma in situ of middle ear and respiratory system,D02
Benign neoplasm of male genital organs,D29
Other disorders of blood and blood-forming organs in diseases classified elsewhere,D77
"Benign neoplasm of female genital organ, unspecified",D28.9
Immunodeficiency associated with other major defects,D82
Unifocal Langerhans-cell histiocytosis,C96.6
Benign neoplasm of other and unspecified endocrine glands,D35
Cryoglobulinemia,D89.1
"Other benign neoplasm of uterus, unspecified",D26.9
Iodine-deficiency related thyroid disorders and allied conditions,E01
Multifocal and unisystemic Langerhans-cell histiocytosis,C96.5
"Benign neoplasm of brain, infratentorial",D33.1
Nontoxic multinodular goiter,E04.2
"Benign neoplasm of brain, unspecified",D33.2
Hypothyroidism due to medicaments and other exogenous substances,E03.2
Carcinoma in situ of vulva,D07.1
Benign neoplasm of other specified parts of central nervous system,D33.7
Immune reconstitution syndrome,D89.3
"Hypergammaglobulinemia, unspecified",D89.2
Benign neoplasm of eye and adnexa,D31
"Nontoxic goiter, unspecified",E04.9
Diseases of spleen,D73
Carcinoma in situ of thyroid and other endocrine glands,D09.3
Benign neoplasm of spinal cord,D33.4
Benign neoplasm of brain and other parts of central nervous system,D33
Carcinoma in situ of other and unspecified parts of intestine,D01.4
"Other specified disorders involving the immune mechanism, not elsewhere classified",D89.8
Other disorders of thyroid,E07
"Benign neoplasm of endocrine gland, unspecified",D35.9
Benign neoplasm of pineal gland,D35.4
Melanoma in situ,D03
Thyroiditis,E06
Other specified diabetes mellitus with other specified complications,E13.6
Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs,D38
Benign neoplasm of other specified endocrine glands,D35.7
Carcinoma in situ of skin,D04
Other specified diabetes mellitus,E13
Neoplasm of uncertain behavior of meninges,D42
Other specified diabetes mellitus with circulatory complications,E13.5
Benign neoplasm of craniopharyngeal duct,D35.3
Benign neoplasm of stomach,D13.1
Dyshormogenetic goiter,E07.1
Neoplasm of uncertain behavior of oral cavity and digestive organs,D37
Nondiabetic hypoglycemic coma,E15
Benign neoplasm of pituitary gland,D35.2
Benign neoplasm of other and unspecified parts of small intestine,D13.3
Increased secretion of gastrin,E16.4
Hypoparathyroidism,E20
Neoplasm of uncertain behavior of other and unspecified sites,D48
Benign neoplasm of aortic body and other paraganglia,D35.6
Carcinoma in situ of other and unspecified digestive organs,D01
Other hyperparathyroidism,E21.2
Chronic myeloproliferative disease,D47.1
